City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,24,0,12.66,clear sky
174,Montrose,US,38.4166,-108.2673,12.54,65,100,3.69,overcast clouds
175,Oxford,GB,51.7522,-1.256,54.5,78,20,1.99,few clouds
176,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.47,86,100,9.42,overcast clouds
177,Lebu,CL,-37.6167,-73.65,63.97,73,34,4.85,scattered clouds
178,Coquimbo,CL,-29.9533,-71.3436,64.13,82,100,2.3,overcast clouds
179,Tainan,TW,22.9908,120.2133,69.15,88,75,9.22,broken clouds
180,Provideniya,RU,64.3833,-173.3,7.23,63,0,21.88,clear sky
181,Keetmanshoop,NA,-26.5833,18.1333,83.23,45,88,11.68,overcast clouds
182,Leningradskiy,RU,69.3833,178.4167,-13.13,96,39,10.56,scattered clouds
183,Adwa,ET,14.1646,38.8955,78.19,25,96,4.25,overcast clouds
184,Sinnamary,GF,5.3833,-52.95,79.75,83,27,12.3,scattered clouds
185,Kapuskasing,CA,49.4169,-82.4331,0.63,90,96,7.56,overcast clouds
186,Ambon,ID,-3.6954,128.1814,78.94,89,20,2.3,few clouds
187,Playa Vicente,MX,17.8333,-95.8167,70.21,94,51,2.66,broken clouds
188,Rio Grande,BR,-32.035,-52.0986,78.55,64,2,10.42,clear sky
189,Vila Velha,BR,-20.3297,-40.2925,80.94,80,100,0.65,overcast clouds
190,Suntar,RU,62.1444,117.6319,-25.15,99,44,4.03,scattered clouds
191,Belmonte,BR,-15.8631,-38.8828,86.5,63,80,8.41,broken clouds
192,Pinega,RU,64.7001,43.3936,15.12,97,100,4.05,overcast clouds
193,Watertown,US,42.3709,-71.1828,37.27,84,100,1.01,overcast clouds
194,Geraldton,AU,-28.7667,114.6,91.81,22,36,11.5,scattered clouds
195,Kavaratti,IN,10.5669,72.642,81.03,67,5,11.18,clear sky
196,Cidreira,BR,-30.1811,-50.2056,79.3,71,4,11.99,clear sky
197,Mount Isa,AU,-20.7333,139.5,82.17,74,75,3.44,broken clouds
198,Lorengau,PG,-2.0226,147.2712,78.89,79,100,4.59,moderate rain
199,Bull Savanna,JM,17.8868,-77.5902,74.37,74,0,5.57,clear sky
