City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Hilo,US,70.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
137,Labuhan,ID,77.61,moderate rain,-6.8844,112.2051,DoubleFAG
138,Lampa,CL,75.07,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
141,Sur,OM,75.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
146,Kahului,US,68.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
147,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
149,Bubaque,GW,79.84,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
151,Alamos,MX,71.02,scattered clouds,27.0167,-108.9333,Luz del Sol
152,Pisco,PE,71.65,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
157,Harper,LR,83.01,scattered clouds,4.375,-7.7169,Screensaver
161,Buala,SB,79.93,light rain,-8.145,159.5921,Maringe Lagoon Lodge
165,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
172,Saldanha,ZA,77.05,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
173,Comodoro Rivadavia,AR,67.86,scattered clouds,-45.8667,-67.5,Austral Hotel
174,Luanda,AO,84.2,broken clouds,-8.8368,13.2343,Hotel Fórum
175,Nangavalli,IN,73.94,broken clouds,11.75,77.8833,G.R.S MANGO
178,East London,ZA,77.94,scattered clouds,-33.0153,27.9116,Tu Casa
179,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
181,Ouro Preto,BR,77.36,few clouds,-20.3948,-43.5052,Hostel Goiabada com Queijo
183,Santa Rosa,PH,76.98,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
185,Bambous Virieux,MU,83.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
186,Angoche,MZ,78.69,moderate rain,-16.2325,39.9086,Guest House HESADA
188,Urucara,BR,89.28,light rain,-2.5364,-57.76,Pousada Maria Bonita
190,Port Antonio,JM,82.31,clear sky,18.18,-76.4612,The Trident Hotel
191,La Merced,CO,66.06,overcast clouds,5.4019,-75.8847,Cascada del Sutú
194,Port Macquarie,AU,73.36,light rain,-31.4333,152.9167,Rydges Port Macquarie
196,Bowen,AU,77.22,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
197,Arlit,NE,72.23,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
201,Byron Bay,AU,73.51,overcast clouds,-28.65,153.6167,Backpackers Inn
202,Toamasina,MG,82.4,thunderstorm,-18.1667,49.3833,Hotel H1
204,Mar Del Plata,AR,69.1,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
206,Porto Nacional,BR,75.2,broken clouds,-10.7081,-48.4172,Vila Real Hotel
208,Garowe,SO,79.59,broken clouds,8.4054,48.4845,Curubo Hotel
209,Neiafu,TO,81.73,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
210,Boa Vista,BR,87.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
215,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
216,Kannangad,IN,76.73,few clouds,12.3081,75.1063,Hotel Landmark
218,Magadi,IN,73.56,overcast clouds,12.9667,77.2333,Gowdru Military Hotel Magadi
219,Chake Chake,TZ,81.37,broken clouds,-5.2459,39.7666,Hotel Archipelago
220,Pangkalanbuun,ID,75.13,heavy intensity rain,-2.6833,111.6167,Grand Kecubung Hotel
221,Itagi,BR,90.0,scattered clouds,-14.1628,-40.0061,Pousada Itagi
224,Pangai,TO,81.64,few clouds,-19.8,-174.35,Ha'apai Beach Resort
227,Palasa,IN,66.0,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
228,Namatanai,PG,79.54,light rain,-3.6667,152.4333,Seagulls Inn Namatani
229,Lorengau,PG,80.69,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
232,Necochea,AR,65.03,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
233,Gladstone,AU,76.93,broken clouds,-23.85,151.25,Highpoint International Hotel
238,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
241,Ambilobe,MG,79.36,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
242,Japura,ID,73.15,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
244,Itupiranga,BR,77.32,moderate rain,-5.1347,-49.3267,Hotel Panorama
250,Tena,EC,81.36,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
251,Tucupita,VE,85.8,clear sky,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
257,Sao Gabriel Da Cachoeira,BR,84.0,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
260,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
261,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
262,Yulara,AU,69.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
263,Letpadan,MM,68.88,clear sky,17.7833,95.75,Ko Arkar Lin
264,Sidney,AU,69.71,overcast clouds,-33.8679,151.2073,The Grace Sydney
265,Ponta Do Sol,PT,67.01,overcast clouds,32.6667,-17.1,Hotel do Campo
266,Dicabisagan,PH,69.75,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
271,Jibuti,DJ,74.62,clear sky,11.5,42.5,Orchid Main Camp Goubet
272,Pallapatti,IN,71.62,scattered clouds,11.6593,78.1342,Hotel Laila palace
273,Tocopilla,CL,72.95,clear sky,-22.092,-70.1979,Hotel Galvarino
274,Kankon,IN,80.4,overcast clouds,15.0167,74.0167,Palolem Beach Resort
276,Flinders,AU,68.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
281,Bilma,NE,66.87,clear sky,18.6853,12.9164,Expeditions Ténére voyages
284,Doha,QA,66.18,broken clouds,25.2867,51.5333,Movenpick Hotel Doha
