City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,Tasiilaq,65.6145,-37.6368,274.24,87,100,2.41,GL,2021-10-23 21:34:23
231,Rumonge,-3.9736,29.4386,297.56,68,40,2.48,BI,2021-10-23 21:34:23
232,Nishihara,26.1842,127.7558,295.75,69,75,3.6,JP,2021-10-23 21:34:24
233,Mitu,1.1983,-70.1733,298.56,90,81,0.9,CO,2021-10-23 21:34:11
234,Obidos,-1.9175,-55.5181,300.29,75,94,1.29,BR,2021-10-23 21:34:24
235,Bontang,0.1333,117.5,297.37,92,100,2.27,ID,2021-10-23 21:34:25
236,Leningradskiy,69.3833,178.4167,261.03,90,100,3.9,RU,2021-10-23 21:34:25
237,Kodinsk,58.6881,99.1844,274.23,93,100,4.92,RU,2021-10-23 21:34:26
238,Storslett,69.7678,21.0247,271.86,97,100,2.43,NO,2021-10-23 21:34:26
239,Tulun,54.5611,100.5792,271.95,92,18,1.95,RU,2021-10-23 21:34:27
240,Maceio,-9.6658,-35.7353,300.84,89,40,5.66,BR,2021-10-23 21:30:34
241,Dwarka,22.2394,68.9678,300.15,65,55,7.43,IN,2021-10-23 21:30:05
242,Mackay,-21.15,149.2,300.4,78,90,1.54,AU,2021-10-23 21:31:21
243,Innisfail,-17.5333,146.0333,299.12,71,33,0.25,AU,2021-10-23 21:34:21
244,Planaltina,-15.4528,-47.6142,301.31,69,74,1.13,BR,2021-10-23 21:34:28
245,Maningrida,-12.0667,134.2667,301.95,69,41,3.24,AU,2021-10-23 21:34:28
246,Jutogh,31.1,77.1167,283.31,67,100,1.85,IN,2021-10-23 21:34:28
247,Samarai,-10.6167,150.6667,300.21,82,82,5.57,PG,2021-10-23 21:34:29
248,Chicama,-7.8447,-79.1469,289.45,71,28,4.11,PE,2021-10-23 21:34:30
249,Shiraz,29.6036,52.5388,289.84,22,0,2.06,IR,2021-10-23 21:34:30
250,College,64.8569,-147.8028,276.43,78,75,0.0,US,2021-10-23 21:34:31
251,Pyay,18.8167,95.2167,296.34,97,95,0.96,MM,2021-10-23 21:34:31
252,Hua Hin,12.5707,99.9588,298.62,87,97,4.32,TH,2021-10-23 21:34:32
253,Padang,-0.9492,100.3543,297.18,88,82,1.48,ID,2021-10-23 21:34:32
254,Mount Isa,-20.7333,139.5,297.02,69,3,2.06,AU,2021-10-23 21:34:33
255,Chapais,49.7834,-74.8492,275.03,79,100,0.56,CA,2021-10-23 21:34:27
256,Yumen,40.2833,97.2,277.24,38,100,3.38,CN,2021-10-23 21:30:54
257,Saskylakh,71.9167,114.0833,259.67,94,100,7.11,RU,2021-10-23 21:32:13
258,Asau,46.4333,26.4,281.15,70,99,0.82,RO,2021-10-23 21:34:34
259,Zharkovskiy,55.849,32.2697,276.36,96,100,4.58,RU,2021-10-23 21:30:13
260,Port Elizabeth,-33.918,25.5701,288.31,77,40,7.2,ZA,2021-10-23 21:34:26
261,Iqaluit,63.7506,-68.5145,274.0,74,90,7.15,CA,2021-10-23 21:34:35
262,Hakkari,37.5833,44.1667,274.03,100,2,1.03,TR,2021-10-23 21:34:35
263,Franklin Park,41.9353,-87.8656,287.02,48,20,0.0,US,2021-10-23 21:34:35
264,Vila Velha,-20.3297,-40.2925,297.12,78,75,5.66,BR,2021-10-23 21:33:33
265,Hamilton,39.1834,-84.5333,288.94,73,90,0.0,US,2021-10-23 21:30:00
266,La Romana,18.4273,-68.9728,302.0,78,40,3.09,DO,2021-10-23 21:34:36
267,Tuatapere,-46.1333,167.6833,284.78,95,100,0.4,NZ,2021-10-23 21:34:18
268,Flinders,-34.5833,150.8552,291.58,84,71,1.79,AU,2021-10-23 21:30:40
269,Carnarvon,-24.8667,113.6333,290.19,88,0,4.12,AU,2021-10-23 21:34:37
270,Tilichiki,60.4667,166.1,260.19,90,99,3.82,RU,2021-10-23 21:34:37
271,Gaomi,36.3833,119.7528,279.03,79,55,1.07,CN,2021-10-23 21:34:39
272,Kahului,20.8947,-156.47,302.16,71,40,8.75,US,2021-10-23 21:33:09
273,Boa Vista,2.8197,-60.6733,306.14,49,40,3.09,BR,2021-10-23 21:34:39
274,Durgapur,23.4833,87.3167,295.13,75,3,1.75,IN,2021-10-23 21:34:40
275,Korla,41.7597,86.1469,283.7,36,100,1.94,CN,2021-10-23 21:34:42
276,Portland,45.5234,-122.6762,286.64,94,90,0.45,US,2021-10-23 21:24:20
277,Gravdal,68.1214,13.5031,277.32,54,100,1.77,NO,2021-10-23 21:34:42
278,Desbiens,48.4178,-71.9495,278.41,65,100,0.7,CA,2021-10-23 21:34:43
279,Lebu,-37.6167,-73.65,285.11,80,20,4.15,CL,2021-10-23 21:34:44
280,Correntina,-13.3433,-44.6367,297.44,74,100,1.21,BR,2021-10-23 21:34:44
281,Santa Isabel Do Rio Negro,-0.4139,-65.0192,301.37,74,94,0.69,BR,2021-10-23 21:34:45
282,Alma,48.5501,-71.6491,277.74,70,100,1.41,CA,2021-10-23 21:33:21
283,Hadejia,12.4498,10.0444,302.03,48,81,2.03,NG,2021-10-23 21:34:45
